iter	Passed	Remaining
592	4217	2894
593	4223	2886
594	4230	2879
595	4236	2871
596	4242	2863
597	4249	2856
598	4255	2848
599	4261	2841
600	4267	2833
601	4273	2825
602	4279	2817
603	4285	2809
604	4292	2802
605	4298	2794
606	4304	2786
607	4309	2778
608	4315	2770
609	4320	2762
610	4327	2755
611	4334	2748
612	4340	2740
613	4346	2732
614	4352	2724
615	4359	2717
616	4365	2710
617	4371	2702
618	4378	2694
619	4384	2687
620	4392	2680
621	4399	2673
622	4405	2666
623	4412	2658
624	4419	2651
625	4426	2644
626	4432	2637
627	4438	2629
628	4445	2621
629	4451	2614
630	4457	2606
631	4463	2599
632	4469	2591
633	4476	2584
634	4482	2576
635	4489	2569
636	4495	2561
637	4502	2554
638	4508	2547
639	4514	2539
640	4521	2532
641	4526	2524
642	4533	2517
643	4540	2509
644	4546	2502
645	4552	2494
646	4558	2487
647	4565	2479
648	4572	2473
649	4579	2465
650	4586	2458
651	4592	2451
652	4600	2444
653	4606	2437
654	4612	2429
655	4619	2422
656	4625	2414
657	4633	2408
658	4640	2400
659	4645	2393
660	4652	2386
661	4657	2378
662	4664	2370
663	4670	2363
664	4676	2355
665	4682	2348
666	4688	2340
667	4695	2333
668	4701	2326
669	4708	2319
670	4715	2311
671	4721	2304
672	4728	2297
673	4735	2290
674	4742	2283
675	4748	2275
676	4754	2268
677	4760	2261
678	4767	2253
679	4773	2246
680	4779	2239
681	4785	2231
682	4792	2224
683	4797	2216
684	4804	2209
685	4810	2201
686	4817	2194
687	4824	2187
688	4830	2180
689	4837	2173
690	4843	2165
691	4850	2158
692	4856	2151
693	4862	2143
694	4869	2136
695	4875	2129
696	4881	2122
697	4888	2114
698	4895	2107
699	4901	2100
700	4907	2093
701	4913	2085
702	4919	2078
703	4926	2071
704	4932	2063
705	4938	2056
706	4944	2049
707	4951	2042
708	4957	2034
709	4963	2027
710	4970	2020
711	4977	2013
712	4983	2006
713	4989	1998
714	4995	1991
715	5002	1984
716	5008	1976
717	5014	1969
718	5021	1962
719	5027	1955
720	5035	1948
721	5041	1941
722	5048	1934
723	5054	1927
724	5060	1919
725	5067	1912
726	5073	1905
727	5079	1897
728	5086	1890
729	5092	1883
730	5099	1876
731	5106	1869
732	5112	1862
733	5119	1855
734	5125	1847
735	5132	1840
736	5138	1833
737	5144	1826
738	5151	1819
739	5157	1812
740	5164	1805
741	5170	1797
742	5176	1790
743	5183	1783
744	5189	1776
745	5195	1768
746	5201	1761
747	5208	1754
748	5214	1747
749	5221	1740
750	5227	1733
751	5233	1725
752	5239	1718
753	5246	1711
754	5252	1704
755	5259	1697
756	5265	1690
757	5272	1683
758	5278	1676
759	5286	1669
760	5292	1662
761	5299	1655
762	5305	1648
763	5312	1640
764	5319	1633
765	5325	1626
766	5332	1619
767	5338	1612
768	5345	1605
769	5351	1598
770	5357	1591
771	5364	1584
772	5370	1577
773	5376	1569
774	5383	1562
775	5389	1555
776	5395	1548
777	5401	1541
778	5407	1534
779	5413	1526
780	5419	1519
781	5425	1512
782	5432	1505
783	5438	1498
784	5446	1491
785	5452	1484
786	5459	1477
787	5464	1470
788	5471	1463
789	5477	1455
790	5483	1448
791	5489	1441
792	5495	1434
793	5501	1427
794	5507	1420
795	5514	1413
796	5519	1405
797	5526	1399
798	5532	1391
799	5539	1384
800	5546	1377
801	5552	1370
802	5559	1363
803	5565	1356
804	5572	1349
805	5578	1342
806	5584	1335
807	5591	1328
808	5597	1321
809	5604	1314
810	5611	1307
811	5617	1300
812	5623	1293
813	5629	1286
814	5635	1279
815	5641	1272
816	5649	1265
817	5655	1258
818	5660	1251
819	5666	1243
820	5672	1236
821	5679	1229
822	5685	1222
823	5691	1215
824	5697	1208
825	5703	1201
826	5709	1194
827	5715	1187
828	5722	1180
829	5729	1173
830	5735	1166
831	5741	1159
832	5747	1152
833	5754	1145
834	5760	1138
835	5767	1131
836	5773	1124
837	5780	1117
838	5786	1110
839	5792	1103
840	5798	1096
841	5804	1089
842	5811	1082
843	5818	1075
844	5824	1068
845	5830	1061
846	5837	1054
847	5843	1047
848	5851	1040
849	5857	1033
850	5863	1026
851	5868	1019
852	5875	1012
853	5882	1005
854	5888	998
855	5894	991
856	5900	984
857	5907	977
858	5912	970
859	5918	963
860	5926	956
861	5932	949
862	5939	942
863	5945	935
864	5952	928
865	5958	922
866	5964	914
867	5971	908
868	5977	901
869	5983	894
870	5988	886
871	5995	880
872	6002	873
873	6008	866
874	6015	859
875	6021	852
876	6027	845
877	6034	838
878	6040	831
879	6046	824
880	6052	817
881	6059	810
882	6066	803
883	6073	797
884	6080	790
885	6086	783
886	6092	776
887	6098	769
888	6104	762
889	6110	755
890	6116	748
891	6122	741
892	6128	734
893	6135	727
894	6141	720
895	6149	713
896	6155	706
897	6162	699
898	6168	693
899	6175	686
900	6180	679
901	6187	672
902	6193	665
903	6200	658
904	6206	651
905	6212	644
906	6218	637
907	6225	630
908	6231	623
909	6237	616
910	6243	610
911	6250	603
912	6256	596
913	6262	589
914	6268	582
915	6275	575
916	6281	568
917	6287	561
918	6293	554
919	6299	547
920	6305	540
921	6312	534
922	6318	527
923	6324	520
924	6330	513
925	6337	506
926	6344	499
927	6350	492
928	6356	485
929	6362	478
930	6368	471
931	6374	465
932	6380	458
933	6387	451
934	6393	444
935	6400	437
936	6407	430
937	6412	423
938	6419	417
939	6425	410
940	6431	403
941	6436	396
942	6442	389
943	6448	382
944	6455	375
945	6461	368
946	6467	361
947	6473	355
948	6479	348
949	6486	341
950	6492	334
951	6499	327
952	6506	320
953	6512	314
954	6519	307
955	6525	300
956	6531	293
957	6537	286
958	6543	279
959	6549	272
960	6555	266
961	6562	259
962	6568	252
963	6575	245
964	6583	238
965	6589	231
966	6595	225
967	6601	218
968	6607	211
969	6614	204
970	6620	197
971	6627	190
972	6634	184
973	6640	177
974	6647	170
975	6653	163
976	6660	156
977	6666	149
978	6672	143
979	6679	136
980	6685	129
981	6693	122
982	6700	115
983	6707	109
984	6713	102
985	6719	95
986	6726	88
987	6732	81
988	6739	74
989	6747	68
990	6754	61
991	6761	54
992	6767	47
993	6773	40
994	6781	34
995	6787	27
996	6794	20
997	6801	13
998	6807	6
999	6814	0
