iter	Passed	Remaining
249	1929	5787
250	1936	5777
251	1943	5767
252	1949	5756
253	1956	5745
254	1962	5734
255	1969	5722
256	1975	5712
257	1982	5702
258	1989	5692
259	1995	5680
260	2002	5669
261	2008	5657
262	2015	5648
263	2022	5638
264	2028	5626
265	2035	5616
266	2041	5605
267	2048	5593
268	2055	5585
269	2061	5574
270	2067	5562
271	2074	5551
272	2081	5543
273	2088	5533
274	2095	5523
275	2101	5513
276	2108	5503
277	2115	5493
278	2121	5483
279	2128	5473
280	2135	5462
281	2141	5452
282	2148	5444
283	2155	5434
284	2162	5425
285	2169	5417
286	2177	5409
287	2184	5400
288	2192	5393
289	2199	5385
290	2206	5375
291	2213	5366
292	2219	5356
293	2227	5347
294	2234	5339
295	2240	5329
296	2247	5319
297	2254	5309
298	2261	5301
299	2268	5293
300	2275	5283
301	2281	5273
302	2288	5263
303	2294	5253
304	2301	5243
305	2308	5235
306	2315	5226
307	2322	5217
308	2329	5209
309	2336	5200
310	2343	5192
311	2350	5183
312	2358	5175
313	2364	5166
314	2370	5155
315	2377	5146
316	2384	5137
317	2392	5130
318	2399	5122
319	2405	5112
320	2412	5102
321	2419	5093
322	2426	5085
323	2432	5075
324	2439	5066
325	2446	5057
326	2452	5048
327	2459	5039
328	2466	5030
329	2474	5023
330	2482	5016
331	2489	5008
332	2495	4999
333	2502	4990
334	2509	4982
335	2516	4973
336	2523	4963
337	2529	4954
338	2536	4945
339	2542	4936
340	2549	4926
341	2556	4918
342	2564	4912
343	2572	4905
344	2579	4898
345	2586	4889
346	2593	4880
347	2599	4870
348	2606	4862
349	2613	4853
350	2620	4845
351	2627	4837
352	2634	4828
353	2641	4819
354	2648	4811
355	2655	4802
356	2661	4794
357	2668	4785
358	2674	4775
359	2681	4767
360	2688	4758
361	2695	4750
362	2701	4741
363	2708	4732
364	2715	4724
365	2722	4715
366	2729	4708
367	2736	4700
368	2743	4691
369	2749	4682
370	2756	4673
371	2762	4663
372	2769	4654
373	2776	4647
374	2783	4639
375	2790	4630
376	2796	4621
377	2804	4615
378	2811	4606
379	2818	4598
380	2826	4591
381	2832	4582
382	2839	4574
383	2846	4566
384	2854	4559
385	2860	4550
386	2867	4541
387	2873	4533
388	2881	4525
389	2888	4517
390	2895	4510
391	2902	4502
392	2909	4493
393	2916	4486
394	2923	4478
395	2930	4470
396	2938	4462
397	2945	4455
398	2951	4446
399	2958	4437
400	2965	4429
401	2972	4421
402	2979	4413
403	2985	4404
404	2992	4396
405	2998	4387
406	3005	4378
407	3012	4370
408	3018	4362
409	3025	4353
410	3032	4346
411	3039	4338
412	3046	4329
413	3053	4321
414	3060	4313
415	3066	4305
416	3073	4297
417	3079	4288
418	3086	4280
419	3093	4271
420	3099	4263
421	3106	4254
422	3113	4246
423	3120	4238
424	3127	4230
425	3133	4222
426	3140	4213
427	3146	4205
428	3153	4197
429	3159	4188
430	3166	4180
431	3173	4172
432	3180	4164
433	3187	4156
434	3193	4148
435	3200	4140
436	3208	4132
437	3215	4125
438	3221	4117
439	3229	4109
440	3235	4101
441	3242	4093
442	3249	4085
443	3255	4077
444	3262	4069
445	3269	4061
446	3276	4053
447	3283	4045
448	3290	4037
449	3297	4030
450	3303	4021
451	3309	4012
452	3316	4004
453	3323	3996
454	3329	3988
455	3336	3980
456	3343	3972
457	3349	3963
458	3355	3955
459	3362	3947
460	3368	3938
461	3375	3930
462	3381	3921
463	3387	3913
464	3393	3904
465	3401	3897
466	3407	3889
467	3414	3881
468	3420	3873
469	3427	3864
470	3433	3856
471	3441	3849
472	3448	3842
473	3455	3834
474	3461	3826
475	3469	3819
476	3476	3811
477	3483	3804
478	3489	3795
479	3496	3788
480	3503	3780
481	3510	3772
482	3517	3764
483	3523	3756
484	3530	3748
485	3537	3741
486	3544	3734
487	3551	3726
488	3557	3717
489	3564	3709
490	3570	3701
491	3577	3693
492	3583	3685
493	3590	3677
494	3596	3669
495	3603	3661
496	3610	3654
497	3617	3646
498	3624	3638
499	3631	3631
500	3637	3622
501	3644	3615
502	3650	3607
503	3657	3599
504	3663	3590
505	3669	3582
506	3676	3574
507	3682	3566
508	3689	3558
509	3695	3551
510	3701	3542
511	3708	3534
512	3716	3527
513	3722	3519
514	3728	3511
515	3735	3503
516	3741	3495
517	3748	3488
518	3755	3480
519	3761	3472
520	3769	3465
521	3775	3457
522	3782	3449
523	3788	3441
524	3794	3433
525	3802	3426
526	3809	3418
527	3815	3411
528	3823	3403
529	3830	3396
530	3836	3388
531	3843	3381
532	3850	3373
533	3856	3365
534	3862	3356
535	3869	3349
536	3875	3341
537	3882	3333
538	3889	3326
539	3896	3318
540	3902	3311
541	3909	3303
542	3915	3295
543	3922	3287
544	3928	3279
545	3935	3271
546	3941	3263
547	3947	3256
548	3954	3248
549	3961	3241
550	3968	3233
551	3974	3225
552	3980	3217
553	3987	3210
554	3994	3202
555	4000	3194
556	4007	3187
557	4014	3179
558	4020	3172
559	4027	3164
560	4034	3157
561	4041	3149
562	4048	3142
563	4055	3134
564	4062	3127
565	4069	3120
566	4076	3113
567	4083	3105
568	4089	3097
569	4096	3090
570	4103	3082
571	4109	3075
572	4115	3067
573	4123	3060
574	4129	3052
575	4136	3044
576	4142	3037
577	4149	3029
578	4156	3021
579	4163	3015
580	4170	3007
581	4177	3000
582	4184	2992
583	4190	2985
584	4197	2977
585	4205	2970
586	4212	2963
587	4219	2956
588	4226	2948
589	4232	2941
590	4239	2933
591	4246	2926
592	4252	2918
593	4259	2911
594	4266	2904
595	4272	2896
596	4279	2889
597	4286	2881
598	4293	2874
599	4299	2866
600	4306	2859
601	4313	2851
602	4319	2844
603	4327	2837
604	4333	2829
605	4340	2821
606	4346	2814
607	4353	2806
608	4360	2799
609	4367	2792
610	4373	2784
611	4380	2776
612	4387	2769
613	4393	2762
614	4400	2755
615	4407	2747
616	4414	2740
617	4421	2732
618	4428	2725
619	4434	2718
620	4441	2710
621	4448	2703
622	4454	2695
623	4460	2687
624	4467	2680
625	4474	2673
626	4481	2665
627	4488	2658
628	4495	2651
629	4501	2643
630	4507	2635
631	4514	2628
632	4521	2621
633	4528	2614
634	4534	2606
635	4540	2598
636	4547	2591
637	4554	2584
638	4560	2576
639	4567	2569
640	4574	2562
641	4582	2555
642	4589	2548
643	4596	2540
644	4602	2533
645	4608	2525
646	4614	2517
647	4621	2510
648	4627	2502
649	4635	2495
650	4642	2488
651	4649	2481
652	4656	2474
653	4663	2467
654	4670	2460
655	4676	2452
656	4683	2445
657	4690	2437
658	4696	2430
659	4702	2422
660	4709	2415
661	4715	2407
662	4722	2400
663	4729	2393
664	4736	2386
665	4743	2378
666	4749	2371
667	4756	2364
668	4763	2356
669	4770	2349
670	4777	2342
671	4784	2335
672	4791	2327
673	4798	2320
674	4804	2313
675	4812	2306
676	4819	2299
677	4826	2292
678	4833	2284
679	4840	2277
680	4847	2270
681	4854	2263
682	4861	2256
683	4867	2248
684	4874	2241
685	4880	2234
686	4887	2226
687	4893	2219
688	4900	2211
689	4906	2204
690	4913	2197
691	4919	2189
692	4926	2182
693	4933	2175
694	4939	2167
695	4945	2160
696	4952	2152
697	4958	2145
698	4965	2138
699	4972	2131
700	4979	2123
701	4985	2116
702	4992	2109
703	4998	2101
704	5005	2094
705	5012	2087
706	5019	2080
707	5026	2073
708	5033	2065
709	5040	2058
710	5046	2051
711	5053	2044
712	5059	2036
713	5066	2029
714	5073	2022
715	5080	2015
716	5087	2007
717	5094	2000
718	5101	1993
719	5107	1986
720	5113	1978
721	5120	1971
722	5127	1964
723	5133	1956
724	5139	1949
725	5147	1942
726	5154	1935
727	5160	1928
728	5167	1920
729	5174	1913
730	5180	1906
731	5187	1899
732	5193	1891
733	5200	1884
734	5207	1877
735	5215	1870
736	5221	1863
737	5227	1855
738	5234	1848
739	5241	1841
740	5248	1834
741	5255	1827
742	5261	1819
743	5268	1812
744	5275	1805
745	5282	1798
746	5289	1791
747	5296	1784
748	5303	1777
749	5310	1770
750	5317	1763
751	5324	1755
752	5330	1748
753	5337	1741
754	5343	1734
755	5350	1726
756	5356	1719
757	5363	1712
758	5370	1705
759	5377	1698
760	5383	1690
761	5390	1683
762	5396	1676
763	5403	1669
764	5410	1662
765	5417	1654
766	5423	1647
767	5430	1640
768	5437	1633
769	5444	1626
770	5451	1619
771	5458	1611
772	5465	1604
773	5473	1598
774	5480	1591
775	5487	1583
776	5493	1576
777	5501	1569
778	5508	1562
779	5515	1555
780	5521	1548
781	5528	1541
782	5535	1533
783	5541	1526
784	5548	1519
785	5554	1512
786	5561	1505
787	5567	1497
788	5574	1490
789	5581	1483
790	5588	1476
791	5594	1469
792	5601	1462
793	5608	1455
794	5614	1447
795	5621	1440
796	5628	1433
797	5635	1426
798	5642	1419
799	5648	1412
800	5655	1405
801	5661	1397
802	5668	1390
803	5676	1383
804	5683	1376
805	5690	1369
806	5696	1362
807	5703	1355
808	5709	1348
809	5716	1340
810	5723	1333
811	5730	1326
812	5736	1319
813	5743	1312
814	5750	1305
815	5758	1298
816	5765	1291
817	5772	1284
818	5778	1277
819	5785	1270
820	5792	1262
821	5799	1255
822	5806	1248
823	5813	1241
824	5820	1234
825	5826	1227
826	5833	1220
827	5839	1213
828	5846	1205
829	5852	1198
830	5859	1191
831	5866	1184
832	5873	1177
833	5879	1170
834	5886	1163
835	5893	1156
836	5900	1149
837	5906	1141
838	5913	1134
839	5919	1127
840	5926	1120
841	5933	1113
842	5939	1106
843	5946	1099
844	5953	1092
845	5960	1084
846	5966	1077
847	5972	1070
848	5979	1063
849	5986	1056
850	5992	1049
851	5999	1042
852	6006	1035
853	6013	1028
854	6020	1020
855	6026	1013
856	6033	1006
857	6039	999
858	6047	992
859	6054	985
860	6061	978
861	6067	971
862	6074	964
863	6081	957
864	6087	950
865	6094	943
866	6101	935
867	6108	928
868	6115	921
869	6122	914
870	6129	907
871	6136	900
872	6142	893
873	6149	886
874	6155	879
875	6162	872
876	6169	865
877	6176	858
878	6182	851
879	6189	844
880	6195	836
881	6202	829
882	6208	822
883	6215	815
884	6222	808
885	6229	801
886	6236	794
887	6242	787
888	6248	780
889	6255	773
890	6262	766
891	6269	759
892	6275	751
893	6283	745
894	6290	737
895	6297	730
896	6303	723
897	6310	716
898	6317	709
899	6323	702
900	6330	695
901	6337	688
902	6344	681
903	6351	674
904	6358	667
905	6364	660
906	6371	653
907	6378	646
908	6384	639
909	6391	632
910	6398	625
911	6404	618
912	6411	610
913	6418	603
914	6425	596
915	6432	589
916	6438	582
917	6445	575
918	6452	568
919	6459	561
920	6466	554
921	6473	547
922	6480	540
923	6487	533
924	6494	526
925	6501	519
926	6507	512
927	6514	505
928	6521	498
929	6527	491
930	6534	484
931	6540	477
932	6546	470
933	6553	463
934	6561	456
935	6568	449
936	6575	442
937	6581	435
938	6587	427
939	6593	420
940	6600	413
941	6606	406
942	6612	399
943	6618	392
944	6624	385
945	6631	378
946	6638	371
947	6644	364
948	6650	357
949	6657	350
950	6664	343
951	6670	336
952	6677	329
953	6683	322
954	6690	315
955	6697	308
956	6703	301
957	6710	294
958	6717	287
959	6723	280
960	6730	273
961	6737	266
962	6744	259
963	6751	252
964	6757	245
965	6764	238
966	6770	231
967	6778	224
968	6785	217
969	6792	210
970	6799	203
971	6806	196
972	6813	189
973	6819	182
974	6826	175
975	6832	168
976	6839	161
977	6846	154
978	6853	147
979	6860	140
980	6867	133
981	6874	126
982	6880	118
983	6887	111
984	6894	104
985	6900	97
986	6906	90
987	6913	83
988	6919	76
989	6926	69
990	6933	62
991	6940	55
992	6946	48
993	6953	41
994	6960	34
995	6966	27
996	6973	20
997	6979	13
998	6986	6
999	6993	0
